"TOA5","CR300Series","CR300","28930","CR300.Std.10.04","CPU:PasoAlejoLewis_v01.CR300","10470","a_HumSuel_pAlejoLew"
"TIMESTAMP","RECORD","hs_t1_20_L","hs_t1_40_L","hs_t1_60_L","hs_t2_20_L","hs_t2_40_L","hs_t2_60_L","hs_t3_20_L","hs_t3_40_L","hs_t3_60_L","hs_t4_20_L","hs_t4_40_L","hs_t4_60_L"
"TS","RN","m^3/m^3","m^3/m^3","m^3/m^3","m^3/m^3","m^3/m^3","m^3/m^3","m^3/m^3","m^3/m^3","m^3/m^3","m^3/m^3","m^3/m^3","m^3/m^3"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-10-18 11:45:00",0,0.252,0.292,0.324,0.321,0.4,0.421,0.33,0.358,0.399,0.362,0.363,0.411
"2022-10-18 12:00:00",1,0.252,0.292,0.324,0.321,0.4,0.421,0.33,0.358,0.399,0.362,0.363,0.411
"2022-10-18 12:15:00",2,0.252,0.292,0.324,0.321,0.401,0.421,0.33,0.358,0.399,0.362,0.363,0.411
"2022-10-18 12:30:00",3,0.252,0.292,0.324,0.321,0.4,0.42,0.33,0.358,0.399,0.362,0.363,0.411
"2022-10-18 11:45:00",0,0.252,0.292,0.324,0.321,0.4,0.421,0.33,0.358,0.399,0.362,0.363,0.411
"2022-10-18 12:00:00",1,0.252,0.292,0.324,0.321,0.4,0.421,0.33,0.358,0.399,0.362,0.363,0.411
"2022-10-18 12:15:00",2,0.252,0.292,0.324,0.321,0.401,0.421,0.33,0.358,0.399,0.362,0.363,0.411
"2022-10-18 12:30:00",3,0.252,0.292,0.324,0.321,0.4,0.42,0.33,0.358,0.399,0.362,0.363,0.411
"2022-10-18 12:45:00",4,0.252,0.292,0.324,0.322,0.4,0.42,0.33,0.358,0.399,0.362,0.363,0.411
"2022-10-18 13:00:00",5,0.252,0.292,0.324,0.322,0.4,0.421,0.33,0.358,0.399,0.362,0.363,0.41
"2022-10-18 13:15:00",6,0.252,0.292,0.323,0.321,0.401,0.421,0.33,0.358,0.4,0.362,0.363,0.41
"2022-10-18 13:30:00",7,0.252,0.292,0.324,0.321,0.4,0.421,0.33,0.358,0.399,0.362,0.363,0.41
"2022-10-18 13:45:00",8,0.252,0.292,0.324,0.321,0.4,0.42,0.33,0.358,0.4,0.362,0.363,0.41
"2022-10-18 14:00:00",9,0.252,0.292,0.324,0.322,0.401,0.421,0.33,0.358,0.399,0.361,0.363,0.41
"2022-10-18 14:15:00",10,0.252,0.292,0.324,0.321,0.4,0.421,0.33,0.358,0.4,0.362,0.363,0.41
"2022-10-18 14:30:00",11,0.252,0.292,0.323,0.321,0.4,0.421,0.33,0.358,0.4,0.361,0.363,0.41
"2022-10-18 14:45:00",12,0.252,0.292,0.323,0.321,0.4,0.42,0.33,0.358,0.4,0.362,0.362,0.41
"2022-10-18 15:00:00",13,0.252,0.292,0.323,0.321,0.4,0.42,0.329,0.358,0.4,0.362,0.363,0.411
"2022-10-18 15:15:00",14,0.252,0.292,0.323,0.321,0.4,0.421,0.329,0.358,0.4,0.361,0.363,0.41
"2022-10-18 15:30:00",15,0.252,0.292,0.323,0.321,0.4,0.421,0.329,0.358,0.4,0.362,0.363,0.41
"2022-10-18 15:45:00",16,0.252,0.292,0.323,0.321,0.4,0.42,0.329,0.358,0.4,0.361,0.363,0.41
"2022-10-18 16:00:00",17,0.252,0.292,0.323,0.321,0.4,0.421,0.329,0.358,0.4,0.361,0.363,0.41
"2022-10-18 16:15:00",18,0.252,0.292,0.323,0.321,0.401,0.421,0.329,0.358,0.4,0.361,0.363,0.41
"2022-10-18 16:30:00",19,0.252,0.292,0.323,0.321,0.4,0.421,0.329,0.358,0.4,0.362,0.363,0.41
"2022-10-18 16:45:00",20,0.252,0.292,0.323,0.321,0.4,0.42,0.329,0.358,0.399,0.361,0.363,0.41
"2022-10-18 17:00:00",21,0.252,0.291,0.323,0.321,0.4,0.42,0.329,0.358,0.4,0.361,0.362,0.411
"2022-10-18 17:15:00",22,0.252,0.291,0.323,0.321,0.4,0.421,0.329,0.358,0.4,0.362,0.363,0.41
"2022-10-18 17:30:00",23,0.252,0.291,0.323,0.321,0.401,0.421,0.329,0.358,0.399,0.361,0.363,0.41
"2022-10-18 17:45:00",24,0.252,0.291,0.323,0.321,0.4,0.42,0.329,0.358,0.399,0.361,0.363,0.41
"2022-10-18 18:00:00",25,0.252,0.291,0.323,0.321,0.4,0.421,0.329,0.358,0.399,0.362,0.362,0.41
"2022-10-18 18:15:00",26,0.252,0.291,0.323,0.321,0.4,0.42,0.329,0.358,0.399,0.362,0.362,0.411
"2022-10-18 18:30:00",27,0.252,0.291,0.323,0.321,0.401,0.421,0.329,0.358,0.399,0.361,0.363,0.41
"2022-10-18 18:45:00",28,0.252,0.291,0.323,0.321,0.4,0.421,0.329,0.358,0.399,0.362,0.363,0.411
"2022-10-18 19:00:00",29,0.252,0.291,0.323,0.321,0.4,0.42,0.329,0.358,0.399,0.362,0.362,0.41
"2022-10-18 19:15:00",30,0.252,0.291,0.323,0.321,0.4,0.42,0.329,0.358,0.399,0.362,0.362,0.41
"2022-10-18 19:30:00",31,0.252,0.291,0.323,0.321,0.4,0.42,0.329,0.358,0.399,0.361,0.363,0.41
"2022-10-18 19:45:00",32,0.252,0.291,0.323,0.321,0.4,0.42,0.329,0.358,0.399,0.362,0.363,0.411
"2022-10-18 20:00:00",33,0.252,0.291,0.323,0.321,0.4,0.421,0.329,0.358,0.399,0.361,0.362,0.41
"2022-10-18 20:15:00",34,0.251,0.291,0.323,0.321,0.4,0.42,0.329,0.358,0.399,0.361,0.362,0.411
"2022-10-18 20:30:00",35,0.251,0.291,0.323,0.321,0.401,0.421,0.329,0.358,0.399,0.362,0.362,0.41
"2022-10-18 20:45:00",36,0.251,0.291,0.323,0.321,0.4,0.42,0.329,0.358,0.399,0.361,0.363,0.41
"2022-10-18 21:00:00",37,0.251,0.291,0.323,0.321,0.401,0.421,0.329,0.358,0.399,0.361,0.362,0.41
"2022-10-18 21:15:00",38,0.251,0.291,0.323,0.321,0.401,0.42,0.329,0.358,0.399,0.362,0.363,0.41
"2022-10-18 21:30:00",39,0.251,0.291,0.323,0.321,0.401,0.42,0.329,0.358,0.399,0.361,0.362,0.41
"2022-10-18 21:45:00",40,0.251,0.291,0.323,0.321,0.4,0.42,0.329,0.358,0.399,0.361,0.362,0.41
"2022-10-18 22:00:00",41,0.251,0.291,0.323,0.321,0.401,0.421,0.329,0.358,0.399,0.362,0.363,0.411
"2022-10-18 22:15:00",42,0.251,0.291,0.323,0.321,0.401,0.421,0.329,0.358,0.399,0.361,0.362,0.41
"2022-10-18 22:30:00",43,0.251,0.291,0.323,0.321,0.401,0.42,0.329,0.358,0.399,0.361,0.363,0.41
"2022-10-18 22:45:00",44,0.251,0.291,0.323,0.321,0.401,0.42,0.329,0.358,0.399,0.361,0.362,0.41
"2022-10-18 23:00:00",45,0.251,0.291,0.323,0.321,0.4,0.421,0.329,0.358,0.399,0.361,0.362,0.41
"2022-10-18 23:15:00",46,0.251,0.291,0.323,0.321,0.401,0.421,0.329,0.357,0.399,0.361,0.363,0.41
"2022-10-18 23:30:00",47,0.251,0.291,0.323,0.321,0.4,0.421,0.329,0.358,0.399,0.361,0.363,0.41
"2022-10-18 23:45:00",48,0.251,0.291,0.323,0.321,0.4,0.421,0.329,0.358,0.399,0.362,0.363,0.41
"2022-10-19 00:00:00",49,0.251,0.291,0.323,0.321,0.4,0.421,0.329,0.358,0.398,0.361,0.363,0.41
"2022-10-19 00:15:00",50,0.251,0.291,0.323,0.321,0.4,0.421,0.329,0.358,0.399,0.361,0.363,0.411
"2022-10-19 00:30:00",51,0.251,0.291,0.323,0.321,0.4,0.421,0.329,0.358,0.399,0.361,0.362,0.41
"2022-10-19 00:45:00",52,0.251,0.291,0.323,0.321,0.401,0.421,0.329,0.358,0.399,0.361,0.363,0.41
"2022-10-19 01:00:00",53,0.251,0.291,0.323,0.321,0.4,0.42,0.329,0.357,0.399,0.361,0.362,0.41
"2022-10-19 01:15:00",54,0.251,0.291,0.323,0.321,0.4,0.42,0.329,0.358,0.399,0.361,0.363,0.41
"2022-10-19 01:30:00",55,0.251,0.291,0.323,0.321,0.4,0.421,0.329,0.357,0.399,0.362,0.363,0.41
"2022-10-19 01:45:00",56,0.251,0.291,0.323,0.321,0.4,0.421,0.329,0.358,0.398,0.362,0.363,0.41
"2022-10-19 02:00:00",57,0.251,0.291,0.323,0.321,0.4,0.42,0.329,0.358,0.399,0.362,0.363,0.411
"2022-10-19 02:15:00",58,0.251,0.291,0.323,0.321,0.4,0.421,0.329,0.357,0.399,0.361,0.363,0.41
"2022-10-19 02:30:00",59,0.251,0.291,0.323,0.321,0.4,0.42,0.329,0.357,0.398,0.361,0.363,0.41
"2022-10-19 02:45:00",60,0.251,0.291,0.323,0.32,0.4,0.421,0.329,0.358,0.398,0.361,0.362,0.41
"2022-10-19 03:00:00",61,0.251,0.291,0.323,0.321,0.4,0.42,0.329,0.358,0.399,0.361,0.363,0.411
"2022-10-19 03:15:00",62,0.251,0.291,0.323,0.321,0.401,0.42,0.329,0.357,0.399,0.362,0.363,0.41
"2022-10-19 03:30:00",63,0.251,0.291,0.323,0.321,0.401,0.42,0.329,0.358,0.399,0.361,0.362,0.41
"2022-10-19 03:45:00",64,0.251,0.291,0.322,0.321,0.4,0.421,0.329,0.358,0.398,0.361,0.362,0.41
"2022-10-19 04:00:00",65,0.251,0.291,0.323,0.321,0.4,0.42,0.329,0.357,0.398,0.361,0.362,0.41
