"TOA5","CR300Series","CR300","28932","CR300.Std.10.04","CPU:PasoAlejoBarcelona_v01.CR300","4697","b_Temp_pAlejoBar"
"TIMESTAMP","RECORD","ts_t3_20_b_Avg","ts_t3_40_b_Avg","ts_t3_60_b_Avg","ts_t4_20_b_Avg","ts_t4_40_b_Avg","ts_t4_60_b_Avg"
"TS","RN","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C"
"","","Avg","Avg","Avg","Avg","Avg","Avg"
"2022-10-12 17:30:00",0,11.8,11.9,12.1,11.7,11.8,11.9
"2022-10-12 17:45:00",1,11.8,11.9,12.17,11.7,11.8,11.91
"2022-10-18 12:45:00",2,13.4,13.08,12.66,13.1,12.8,12.4
"2022-10-18 13:15:00",3,13.4,13.84,13.41,13.1,12.8,12.4
"2022-10-18 13:30:00",4,13.4,14.39,13.92,13.1,12.8,12.4
"2022-10-18 13:45:00",5,13.4,14.56,14.08,13.1,12.8,12.4
"2022-10-18 14:00:00",6,13.4,14.6,14.14,13.1,12.8,12.4
"2022-10-18 14:15:00",7,13.4,14.61,14.16,13.1,12.8,12.4
"2022-10-18 14:30:00",8,13.4,14.7,14.2,13.1,12.8,12.4
"2022-10-18 15:00:00",9,13.4,14.5,14.1,13.1,12.8,12.4
"2022-10-18 15:15:00",10,13.4,14.35,13.9,13.1,12.8,12.4
"2022-10-18 15:30:00",11,13.4,14.54,14.1,13.1,12.8,12.4
"2022-10-18 15:45:00",12,13.4,14.67,14.2,13.1,12.8,12.4
"2022-10-18 16:00:00",13,13.4,14.49,14.07,13.1,12.8,12.4
"2022-10-18 16:15:00",14,13.4,14.66,14.23,13.1,12.8,12.4
"2022-10-18 16:30:00",15,13.4,14.7,14.3,13.1,12.8,12.4
"2022-10-18 16:45:00",16,13.41,14.7,14.3,13.1,12.8,12.4
"2022-10-18 17:00:00",17,13.5,14.7,14.3,13.1,12.8,12.4
"2022-10-18 17:15:00",18,13.5,14.7,14.3,13.1,12.8,12.4
"2022-10-18 17:30:00",19,13.5,14.7,14.3,13.1,12.8,12.4
"2022-10-18 18:00:00",20,13.5,14.18,13.83,13.1,12.8,12.4
"2022-10-19 12:30:00",21,13,14.07,13.75,12.9,12.8,12.5
"2022-10-19 12:45:00",22,13,14.41,14.07,12.9,12.82,12.5
"2022-10-19 13:15:00",23,12.98,13.96,13.68,12.9,12.8,12.5
"2022-10-19 13:30:00",24,13,14.45,14.15,12.9,12.8,12.5
"2022-10-19 13:45:00",25,12.95,14.09,13.8,12.8,12.8,12.5
