"TOA5","CR300Series","CR300","28930","CR300.Std.10.04","CPU:PasoAlejoLewis_v01.CR300","10470","b_Temp_pAlejoLew"
"TIMESTAMP","RECORD","ts_t2_20_L_Avg","ts_t2_40_L_Avg","ts_t2_60_L_Avg","ts_t4_20_L_Avg","ts_t4_40_L_Avg","ts_t4_60_L_Avg"
"TS","RN","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C"
"","","Avg","Avg","Avg","Avg","Avg","Avg"
"2022-10-18 11:45:00",0,13.2,12.9,12.7,12.8,12.86,12.4
"2022-10-18 12:00:00",1,13.2,12.9,12.7,12.8,12.9,12.4
"2022-10-18 12:15:00",2,13.2,12.9,12.7,12.8,12.9,12.4
"2022-10-18 12:30:00",3,13.2,12.9,12.7,12.8,12.9,12.4
"2022-10-18 11:45:00",0,13.2,12.9,12.7,12.8,12.86,12.4
"2022-10-18 12:00:00",1,13.2,12.9,12.7,12.8,12.9,12.4
"2022-10-18 12:15:00",2,13.2,12.9,12.7,12.8,12.9,12.4
"2022-10-18 12:30:00",3,13.2,12.9,12.7,12.8,12.9,12.4
"2022-10-18 12:45:00",4,13.2,12.9,12.7,12.8,12.9,12.4
"2022-10-18 13:00:00",5,13.2,12.9,12.7,12.8,12.9,12.4
"2022-10-18 13:15:00",6,13.2,12.9,12.7,12.8,12.9,12.4
"2022-10-18 13:30:00",7,13.2,12.9,12.7,12.8,12.9,12.4
"2022-10-18 13:45:00",8,13.2,12.9,12.7,12.8,12.9,12.4
"2022-10-18 14:00:00",9,13.2,12.9,12.7,12.8,12.9,12.4
"2022-10-18 14:15:00",10,13.2,12.9,12.7,12.8,12.9,12.4
"2022-10-18 14:30:00",11,13.2,12.9,12.7,12.8,12.9,12.4
"2022-10-18 14:45:00",12,13.2,12.9,12.7,12.8,12.9,12.4
"2022-10-18 15:00:00",13,13.2,12.9,12.7,12.8,12.9,12.4
"2022-10-18 15:15:00",14,13.2,12.9,12.7,12.8,12.9,12.4
"2022-10-18 15:30:00",15,13.2,12.92,12.7,12.8,12.9,12.4
"2022-10-18 15:45:00",16,13.2,12.97,12.7,12.8,12.9,12.4
"2022-10-18 16:00:00",17,13.2,13,12.7,12.8,12.9,12.4
"2022-10-18 16:15:00",18,13.2,13,12.7,12.8,12.9,12.4
"2022-10-18 16:30:00",19,13.2,13,12.7,12.8,12.9,12.4
"2022-10-18 16:45:00",20,13.2,13,12.7,12.8,12.9,12.4
"2022-10-18 17:00:00",21,13.2,13,12.7,12.8,12.9,12.4
"2022-10-18 17:15:00",22,13.2,13,12.7,12.8,12.9,12.4
"2022-10-18 17:30:00",23,13.2,13,12.7,12.8,12.9,12.4
"2022-10-18 17:45:00",24,13.2,13,12.7,12.8,12.9,12.4
"2022-10-18 18:00:00",25,13.2,13,12.7,12.8,12.9,12.4
"2022-10-18 18:15:00",26,13.2,13,12.7,12.82,12.9,12.4
"2022-10-18 18:30:00",27,13.23,13,12.7,12.9,12.9,12.4
"2022-10-18 18:45:00",28,13.3,13,12.7,12.9,12.9,12.4
"2022-10-18 19:00:00",29,13.3,13,12.7,12.9,12.9,12.4
"2022-10-18 19:15:00",30,13.3,13,12.7,12.9,12.9,12.4
"2022-10-18 19:30:00",31,13.3,13,12.7,12.9,12.9,12.4
"2022-10-18 19:45:00",32,13.3,13,12.7,12.9,12.9,12.4
"2022-10-18 20:00:00",33,13.3,13,12.7,12.9,12.9,12.4
"2022-10-18 20:15:00",34,13.37,13,12.7,12.95,12.9,12.41
"2022-10-18 20:30:00",35,13.4,13,12.71,13,12.9,12.44
"2022-10-18 20:45:00",36,13.4,13,12.74,13,12.9,12.48
"2022-10-18 21:00:00",37,13.4,13,12.79,13,12.9,12.49
"2022-10-18 21:15:00",38,13.4,13,12.8,13,12.9,12.5
"2022-10-18 21:30:00",39,13.4,13,12.8,13,12.9,12.5
"2022-10-18 21:45:00",40,13.4,13,12.8,13,12.9,12.5
"2022-10-18 22:00:00",41,13.49,13,12.8,13.02,12.9,12.5
"2022-10-18 22:15:00",42,13.5,13,12.8,13.1,12.9,12.5
"2022-10-18 22:30:00",43,13.5,13,12.8,13.1,12.9,12.5
"2022-10-18 22:45:00",44,13.5,13,12.8,13.1,12.9,12.5
"2022-10-18 23:00:00",45,13.5,13,12.8,13.1,12.9,12.5
"2022-10-18 23:15:00",46,13.5,13,12.8,13.1,12.9,12.5
"2022-10-18 23:30:00",47,13.5,13,12.8,13.1,12.9,12.5
"2022-10-18 23:45:00",48,13.5,13,12.8,13.1,12.9,12.5
"2022-10-19 00:00:00",49,13.5,13,12.8,13.1,12.9,12.5
"2022-10-19 00:15:00",50,13.5,13,12.8,13.1,12.9,12.5
"2022-10-19 00:30:00",51,13.5,13,12.8,13.1,12.9,12.5
"2022-10-19 00:45:00",52,13.5,13,12.8,13.1,12.9,12.5
"2022-10-19 01:00:00",53,13.5,13,12.8,13.1,12.9,12.5
"2022-10-19 01:15:00",54,13.5,13,12.8,13.1,12.9,12.5
"2022-10-19 01:30:00",55,13.5,13,12.8,13.1,12.9,12.5
"2022-10-19 01:45:00",56,13.5,13,12.8,13.1,12.9,12.5
"2022-10-19 02:00:00",57,13.5,13,12.8,13.1,12.9,12.5
"2022-10-19 02:15:00",58,13.5,13,12.8,13.1,12.9,12.5
"2022-10-19 02:30:00",59,13.5,13,12.8,13.1,12.9,12.5
"2022-10-19 02:45:00",60,13.5,13,12.8,13.1,12.9,12.5
"2022-10-19 03:00:00",61,13.5,13,12.8,13.1,12.9,12.5
"2022-10-19 03:15:00",62,13.5,13,12.8,13.1,12.9,12.5
"2022-10-19 03:30:00",63,13.49,13,12.8,13.1,12.9,12.5
"2022-10-19 03:45:00",64,13.4,13,12.8,13.1,12.9,12.5
"2022-10-19 04:00:00",65,13.4,13,12.8,13.03,12.9,12.5
"2022-10-19 04:15:00",66,13.4,13,12.8,13,12.9,12.5
"2022-10-19 04:30:00",67,13.4,13,12.8,13,12.9,12.5
"2022-10-19 04:45:00",68,13.4,13,12.8,13,12.9,12.5
"2022-10-19 05:00:00",69,13.4,13,12.8,13,12.9,12.5
