"TOA5","CR300Series","CR300","28932","CR300.Std.10.04","CPU:PasoAlejoBarcelona_v01.CR300","4697","c_mVolts_pAlejoBar"
"TIMESTAMP","RECORD","mV_t1_20_b","mV_t1_40_b","mV_t1_60_b","mV_t2_20_b","mV_t2_40_b","mV_t2_60_b","mV_t3_20_b","mV_t3_40_b","mV_t3_60_b","mV_t4_20_b","mV_t4_40_b","mV_t4_60_b"
"TS","RN","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-10-12 17:30:00",0,1879,1865,2129,2047,1904,1919,2820,2737,2819,2826,2780,2721
"2022-10-12 17:45:00",1,1879,1865,2129,2048,1904,1919,2819,2737,2820,2826,2781,2721
"2022-10-18 12:45:00",2,2115,1841,1863,2037,1892,1904,2769,2649,2744,2782,2767,2701
"2022-10-18 13:15:00",3,2127,1846,1868,2043,1895,1912,2804,2727,2804,2810,2763,2702
"2022-10-18 13:30:00",4,2126,1846,1868,2043,1895,1912,2804,2724,2803,2809,2763,2701
"2022-10-18 13:45:00",5,2125,1846,1868,2043,1895,1912,2805,2726,2804,2809,2765,2701
"2022-10-18 14:00:00",6,2125,1846,1868,2043,1895,1912,2804,2724,2803,2810,2763,2702
"2022-10-18 14:15:00",7,2124,1846,1868,2043,1895,1912,2805,2725,2804,2808,2764,2703
"2022-10-18 14:30:00",8,2124,1846,1868,2043,1895,1912,2805,2725,2803,2809,2764,2702
"2022-10-18 15:00:00",9,2124,1845,1868,2042,1895,1911,2805,2725,2804,2808,2763,2700
"2022-10-18 15:15:00",10,2123,1846,1868,2042,1895,1911,2804,2724,2802,2808,2763,2701
"2022-10-18 15:30:00",11,2124,1846,1868,2042,1895,1911,2804,2724,2803,2808,2764,2701
"2022-10-18 15:45:00",12,2123,1846,1868,2042,1895,1911,2804,2725,2803,2809,2763,2702
"2022-10-18 16:00:00",13,2123,1846,1868,2042,1894,1911,2804,2725,2804,2808,2763,2700
"2022-10-18 16:15:00",14,2123,1846,1868,2042,1894,1911,2804,2724,2804,2808,2764,2701
"2022-10-18 16:30:00",15,2123,1845,1868,2042,1894,1911,2804,2724,2804,2808,2763,2700
"2022-10-18 16:45:00",16,2123,1845,1868,2042,1894,1911,2804,2725,2802,2808,2763,2700
"2022-10-18 17:00:00",17,2123,1845,1868,2042,1894,1911,2804,2724,2803,2809,2764,2700
"2022-10-18 17:15:00",18,2123,1845,1868,2042,1894,1911,2804,2724,2803,2809,2764,2700
"2022-10-18 17:30:00",19,2123,1845,1867,2042,1894,1911,2803,2726,2802,2808,2763,2701
"2022-10-18 18:00:00",20,2122,1845,1867,2042,1894,1911,2803,2724,2804,2807,2763,2701
"2022-10-19 12:30:00",21,2124,1846,1867,2043,1895,1911,2805,2725,2803,2809,2763,2702
"2022-10-19 12:45:00",22,2124,1846,1867,2043,1895,1911,2805,2727,2802,2809,2763,2701
"2022-10-19 13:15:00",23,2124,1846,1867,2043,1895,1910,2805,2724,2802,2810,2763,2700
"2022-10-19 13:30:00",24,2124,1846,1867,2043,1895,1911,2804,2724,2802,2809,2763,2701
"2022-10-19 13:45:00",25,2124,1846,1867,2043,1894,1910,2806,2724,2803,2809,2763,2701
"2022-10-19 14:00:00",26,2124,1846,1867,2043,1895,1911,2804,2725,2803,2809,2763,2699
"2022-10-19 14:15:00",27,2124,1846,1867,2043,1895,1911,2805,2726,2801,2809,2764,2700
"2022-10-19 14:30:00",28,2123,1846,1867,2043,1894,1911,2804,2725,2803,2809,2762,2701
"2022-10-19 14:45:00",29,2123,1846,1867,2043,1894,1911,2806,2725,2803,2810,2763,2701
"2022-10-19 15:00:00",30,2123,1846,1867,2043,1894,1911,2805,2725,2801,2808,2763,2701
"2022-10-19 15:15:00",31,2123,1845,1867,2043,1894,1911,2805,2724,2803,2808,2763,2700
"2022-10-19 15:30:00",32,2123,1845,1867,2042,1894,1910,2804,2725,2802,2808,2763,2701
"2022-10-19 15:45:00",33,2123,1845,1867,2043,1894,1911,2805,2724,2801,2810,2762,2701
"2022-10-19 16:00:00",34,2123,1845,1867,2042,1894,1910,2805,2726,2803,2808,2763,2700
"2022-10-20 12:45:00",35,2124,1846,1867,2042,1895,1910,2804,2726,2802,2809,2763,2701
"2022-10-20 13:00:00",36,2124,1846,1867,2043,1895,1911,2806,2725,2801,2809,2764,2701
"2022-10-20 13:15:00",37,2124,1847,1867,2043,1895,1911,2805,2724,2800,2809,2764,2700
"2022-10-20 13:30:00",38,2124,1846,1867,2043,1895,1911,2805,2723,2800,2810,2762,2701
"2022-10-20 13:45:00",39,2124,1846,1867,2043,1894,1911,2805,2724,2800,2810,2763,2701
"2022-10-20 14:00:00",40,2124,1846,1867,2043,1894,1911,2805,2724,2802,2809,2763,2700
"2022-10-20 14:15:00",41,2123,1846,1867,2043,1894,1911,2805,2723,2802,2809,2764,2700
"2022-10-20 14:30:00",42,2124,1846,1867,2043,1894,1910,2804,2724,2801,2809,2764,2701
"2022-10-20 14:45:00",43,2123,1846,1867,2043,1894,1911,2804,2723,2801,2810,2764,2701
"2022-10-20 15:00:00",44,2123,1845,1867,2043,1893,1910,2804,2723,2800,2808,2763,2701
"2022-10-20 15:15:00",45,2123,1845,1867,2043,1893,1911,2805,2723,2801,2809,2762,2701
"2022-10-20 15:30:00",46,2123,1845,1867,2043,1893,1911,2805,2723,2800,2809,2764,2700
"2022-10-20 15:45:00",47,2123,1845,1867,2042,1893,1910,2804,2723,2800,2809,2763,2700
"2022-10-20 16:00:00",48,2123,1845,1867,2042,1893,1910,2804,2723,2800,2808,2764,2700
"2022-10-20 16:15:00",49,2123,1845,1867,2042,1893,1910,2804,2724,2800,2808,2762,2700
"2022-10-20 16:30:00",50,2123,1845,1867,2042,1892,1910,2804,2722,2800,2808,2763,2699
"2022-10-20 16:45:00",51,2123,1845,1867,2042,1892,1910,2803,2723,2800,2809,2763,2699
"2022-10-20 17:00:00",52,2122,1844,1867,2042,1892,1910,2804,2724,2801,2807,2762,2699
"2022-10-20 18:00:00",53,2122,1844,1867,2042,1893,1910,2803,2723,2799,2808,2763,2700
"2022-10-20 18:15:00",54,2122,1844,1867,2042,1893,1910,2803,2722,2800,2807,2762,2700
"2022-10-21 09:30:00",55,2124,1844,1866,2041,1894,1909,2803,2725,2798,2807,2761,2700
"2022-10-21 09:45:00",56,2124,1844,1866,2042,1894,1910,2802,2724,2798,2808,2762,2698
"2022-10-21 10:00:00",57,2124,1844,1866,2042,1894,1910,2803,2723,2800,2807,2761,2698
"2022-10-21 10:15:00",58,2123,1844,1866,2042,1894,1910,2802,2723,2799,2807,2760,2698
"2022-10-21 10:30:00",59,2123,1844,1866,2042,1893,1910,2802,2723,2800,2807,2761,2700
"2022-10-21 10:45:00",60,2123,1844,1866,2042,1893,1910,2803,2723,2800,2807,2761,2700
"2022-10-21 11:00:00",61,2123,1844,1866,2042,1893,1910,2803,2722,2800,2806,2762,2699
"2022-10-21 11:15:00",62,2123,1844,1866,2042,1893,1910,2803,2721,2800,2807,2763,2699
"2022-10-21 11:30:00",63,2123,1844,1866,2042,1893,1910,2803,2721,2798,2806,2762,2699
"2022-10-21 11:45:00",64,2123,1844,1866,2042,1893,1910,2803,2724,2799,2806,2761,2698
"2022-10-21 12:00:00",65,2122,1844,1866,2042,1893,1910,2802,2723,2798,2807,2760,2698
"2022-10-21 12:15:00",66,2122,1844,1866,2042,1893,1910,2802,2722,2798,2806,2761,2698
"2022-10-21 12:30:00",67,2122,1844,1866,2042,1893,1910,2803,2721,2798,2806,2760,2698
"2022-10-21 12:45:00",68,2122,1844,1866,2042,1893,1909,2803,2722,2799,2806,2761,2698
"2022-10-21 13:00:00",69,2122,1844,1866,2042,1892,1909,2802,2722,2800,2808,2760,2699
