"TOA5","CR300Series","CR300","28930","CR300.Std.10.04","CPU:PasoAlejoLewis_v01.CR300","10470","c_mVolts_pAlejoLew"
"TIMESTAMP","RECORD","mV_t1_20_L","mV_t1_40_L","mV_t1_60_L","mV_t2_20_L","mV_t2_40_L","mV_t2_60_L","mV_t3_20_L","mV_t3_40_L","mV_t3_60_L","mV_t4_20_L","mV_t4_40_L","mV_t4_60_L"
"TS","RN","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-10-18 11:45:00",0,1678,1792,1869,2622,2825,2878,1883,1943,2017,2726,2729,2852
"2022-10-18 12:00:00",1,1678,1792,1869,2622,2824,2878,1883,1943,2018,2727,2730,2852
"2022-10-18 12:15:00",2,1678,1792,1870,2621,2826,2878,1883,1943,2017,2725,2729,2852
"2022-10-18 12:30:00",3,1678,1792,1870,2622,2825,2877,1883,1943,2017,2726,2729,2852
"2022-10-18 11:45:00",0,1678,1792,1869,2622,2825,2878,1883,1943,2017,2726,2729,2852
"2022-10-18 12:00:00",1,1678,1792,1869,2622,2824,2878,1883,1943,2018,2727,2730,2852
"2022-10-18 12:15:00",2,1678,1792,1870,2621,2826,2878,1883,1943,2017,2725,2729,2852
"2022-10-18 12:30:00",3,1678,1792,1870,2622,2825,2877,1883,1943,2017,2726,2729,2852
"2022-10-18 12:45:00",4,1678,1792,1870,2623,2824,2877,1883,1943,2017,2726,2729,2852
"2022-10-18 13:00:00",5,1678,1792,1870,2622,2825,2877,1883,1942,2017,2725,2728,2851
"2022-10-18 13:15:00",6,1678,1792,1869,2622,2826,2877,1883,1943,2018,2725,2729,2851
"2022-10-18 13:30:00",7,1678,1792,1870,2621,2824,2877,1883,1943,2018,2726,2729,2851
"2022-10-18 13:45:00",8,1678,1792,1869,2622,2826,2877,1883,1943,2018,2726,2728,2851
"2022-10-18 14:00:00",9,1678,1792,1870,2622,2826,2878,1883,1943,2018,2725,2729,2850
"2022-10-18 14:15:00",10,1678,1792,1869,2621,2824,2878,1883,1943,2018,2725,2729,2850
"2022-10-18 14:30:00",11,1678,1792,1869,2621,2824,2878,1883,1943,2018,2724,2729,2850
"2022-10-18 14:45:00",12,1678,1792,1869,2622,2824,2877,1883,1943,2018,2726,2728,2851
"2022-10-18 15:00:00",13,1678,1792,1869,2621,2824,2877,1883,1943,2018,2725,2729,2852
"2022-10-18 15:15:00",14,1678,1791,1869,2621,2824,2878,1883,1943,2018,2725,2730,2850
"2022-10-18 15:30:00",15,1678,1791,1869,2621,2825,2877,1883,1943,2018,2725,2729,2850
"2022-10-18 15:45:00",16,1678,1791,1869,2621,2824,2877,1882,1943,2018,2724,2729,2850
"2022-10-18 16:00:00",17,1678,1791,1869,2622,2824,2878,1882,1943,2018,2725,2728,2850
"2022-10-18 16:15:00",18,1678,1791,1869,2622,2826,2878,1882,1943,2018,2725,2728,2851
"2022-10-18 16:30:00",19,1678,1791,1869,2621,2825,2877,1882,1943,2018,2725,2728,2851
"2022-10-18 16:45:00",20,1678,1791,1869,2621,2825,2877,1882,1943,2017,2724,2728,2851
"2022-10-18 17:00:00",21,1678,1791,1869,2621,2825,2877,1882,1943,2018,2724,2727,2852
"2022-10-18 17:15:00",22,1677,1791,1868,2621,2824,2877,1882,1942,2018,2725,2729,2851
"2022-10-18 17:30:00",23,1677,1790,1868,2621,2826,2877,1882,1943,2017,2724,2728,2851
"2022-10-18 17:45:00",24,1677,1790,1869,2621,2824,2877,1882,1943,2017,2725,2728,2850
"2022-10-18 18:00:00",25,1677,1790,1868,2621,2826,2878,1882,1942,2017,2726,2727,2850
"2022-10-18 18:15:00",26,1677,1790,1868,2622,2824,2877,1881,1943,2017,2726,2728,2852
"2022-10-18 18:30:00",27,1677,1790,1869,2622,2826,2877,1882,1942,2017,2725,2729,2850
"2022-10-18 18:45:00",28,1677,1790,1868,2621,2826,2878,1882,1942,2017,2725,2728,2852
"2022-10-18 19:00:00",29,1677,1790,1869,2620,2825,2877,1882,1942,2017,2726,2727,2850
"2022-10-18 19:15:00",30,1677,1790,1869,2621,2825,2877,1881,1943,2017,2726,2727,2850
"2022-10-18 19:30:00",31,1677,1790,1868,2621,2824,2877,1882,1942,2017,2724,2729,2849
"2022-10-18 19:45:00",32,1677,1790,1868,2621,2826,2877,1882,1942,2017,2725,2728,2852
"2022-10-18 20:00:00",33,1677,1790,1868,2620,2825,2878,1881,1942,2017,2724,2728,2850
"2022-10-18 20:15:00",34,1677,1789,1868,2620,2825,2877,1881,1942,2016,2724,2726,2852
"2022-10-18 20:30:00",35,1677,1790,1868,2621,2826,2878,1881,1942,2016,2725,2727,2850
"2022-10-18 20:45:00",36,1677,1789,1868,2620,2825,2877,1881,1942,2017,2725,2729,2850
"2022-10-18 21:00:00",37,1677,1789,1868,2622,2826,2878,1881,1942,2017,2725,2727,2851
"2022-10-18 21:15:00",38,1676,1789,1868,2620,2826,2877,1881,1942,2017,2726,2729,2851
"2022-10-18 21:30:00",39,1676,1789,1867,2621,2826,2877,1881,1942,2017,2725,2728,2851
"2022-10-18 21:45:00",40,1676,1789,1867,2620,2826,2877,1881,1942,2016,2723,2728,2850
"2022-10-18 22:00:00",41,1676,1789,1868,2620,2826,2877,1881,1942,2016,2726,2728,2852
"2022-10-18 22:15:00",42,1676,1789,1867,2621,2826,2877,1881,1942,2016,2725,2728,2851
"2022-10-18 22:30:00",43,1676,1789,1868,2621,2826,2877,1881,1941,2017,2725,2728,2851
"2022-10-18 22:45:00",44,1676,1789,1868,2620,2826,2877,1881,1942,2016,2724,2727,2850
"2022-10-18 23:00:00",45,1676,1789,1868,2620,2824,2877,1881,1941,2017,2725,2727,2850
"2022-10-18 23:15:00",46,1676,1789,1867,2620,2826,2877,1881,1941,2016,2725,2729,2850
"2022-10-18 23:30:00",47,1676,1789,1867,2621,2824,2878,1881,1941,2016,2725,2729,2850
"2022-10-18 23:45:00",48,1676,1789,1868,2621,2825,2877,1881,1942,2016,2725,2729,2851
"2022-10-19 00:00:00",49,1676,1789,1867,2621,2826,2878,1881,1942,2016,2725,2728,2851
"2022-10-19 00:15:00",50,1676,1789,1868,2620,2825,2877,1881,1942,2016,2725,2729,2852
"2022-10-19 00:30:00",51,1676,1789,1867,2621,2825,2877,1881,1942,2016,2725,2728,2850
"2022-10-19 00:45:00",52,1676,1789,1867,2621,2826,2878,1881,1942,2016,2725,2729,2850
"2022-10-19 01:00:00",53,1676,1789,1868,2620,2825,2877,1881,1941,2016,2725,2727,2851
"2022-10-19 01:15:00",54,1676,1789,1868,2620,2825,2877,1881,1942,2016,2725,2729,2851
"2022-10-19 01:30:00",55,1676,1789,1868,2621,2825,2878,1881,1941,2016,2725,2728,2850
"2022-10-19 01:45:00",56,1676,1789,1867,2621,2825,2877,1881,1942,2016,2726,2728,2850
"2022-10-19 02:00:00",57,1676,1789,1867,2620,2824,2877,1881,1942,2016,2726,2729,2852
"2022-10-19 02:15:00",58,1676,1789,1868,2621,2825,2877,1881,1941,2016,2725,2729,2851
"2022-10-19 02:30:00",59,1676,1789,1868,2620,2825,2877,1881,1941,2016,2725,2728,2851
"2022-10-19 02:45:00",60,1676,1789,1868,2619,2825,2878,1881,1942,2016,2725,2727,2851
"2022-10-19 03:00:00",61,1676,1789,1867,2620,2825,2877,1881,1941,2016,2725,2729,2852
"2022-10-19 03:15:00",62,1676,1789,1867,2620,2826,2877,1881,1941,2016,2725,2730,2850
"2022-10-19 03:30:00",63,1676,1789,1867,2621,2826,2876,1881,1942,2016,2725,2728,2851
"2022-10-19 03:45:00",64,1676,1789,1867,2620,2826,2878,1881,1941,2016,2725,2727,2851
"2022-10-19 04:00:00",65,1676,1789,1867,2620,2824,2877,1881,1941,2016,2725,2728,2850
