"TOA5","CR300Series","CR300","28930","CR300.Std.10.04","CPU:PasoAlejoLewis_v01.CR300","10470","d_Lat_pAlejoLew"
"TIMESTAMP","RECORD","PTemp_C_Max","BattV_Min"
"TS","RN","Deg C","Volts"
"","","Max","Min"
"2022-10-19 00:00:00",0,34.3,12.67
"2022-10-20 00:00:00",1,27.02,12.7
"2022-10-21 00:00:00",2,33.5,12.94
"2022-10-22 00:00:00",3,33.74,12.95
"2022-10-23 00:00:00",4,35.96,12.93
"2022-10-24 00:00:00",5,32.5,12.91
"2022-10-25 00:00:00",6,35.83,12.91
"2022-10-26 00:00:00",7,31.35,12.94
"2022-10-27 00:00:00",8,31.84,12.97
"2022-10-28 00:00:00",9,35.05,12.93
"2022-10-29 00:00:00",10,17.47,12.95
"2022-10-30 00:00:00",11,23.47,12.96
"2022-10-31 00:00:00",12,25.32,12.93
"2022-11-01 00:00:00",13,38.03,12.92
"2022-11-02 00:00:00",14,44.84,12.91
"2022-11-03 00:00:00",15,41,12.92
"2022-11-04 00:00:00",16,38.29,12.91
"2022-11-05 00:00:00",17,34.34,12.9
"2022-11-06 00:00:00",18,32.01,12.94
"2022-11-07 00:00:00",19,37.31,12.9
"2022-11-08 00:00:00",20,39.87,12.91
"2022-11-09 00:00:00",21,33.6,12.94
"2022-11-10 00:00:00",22,23.71,12.94
"2022-11-11 00:00:00",23,26.8,12.93
"2022-11-12 00:00:00",24,28.79,12.95
"2022-11-13 00:00:00",25,24.28,12.92
"2022-11-14 00:00:00",26,32.75,12.96
"2022-11-15 00:00:00",27,35.39,12.93
"2022-11-16 00:00:00",28,38.54,12.94
"2022-11-17 00:00:00",29,39.04,12.91
